<<<<<<< HEAD
loss: 0.003890035
loss: 0.002375070
loss: 0.003352483
loss: 0.002666089
loss: 0.002584762
loss: 0.002492459
loss: 0.003344086
loss: 0.002652553
loss: 0.002404738
loss: 0.003032567
loss: 0.002534350
loss: 0.002264049
loss: 0.002392707
loss: 0.002749808
loss: 0.002919057
loss: 0.002323238
loss: 0.002081054
loss: 0.002567382
Train Epoch:1	Percent:[7040/136439 (83%)]	Loss:0.002567382
loss: 0.003725141
loss: 0.002033909
loss: 0.002613604
loss: 0.002746639
loss: 0.002653717
loss: 0.002187883
loss: 0.002390451
loss: 0.002120107
loss: 0.003166824
loss: 0.002231607
loss: 0.002570456
loss: 0.002652785
loss: 0.002352529
loss: 0.003089767
loss: 0.002427577
loss: 0.002659019
loss: 0.001790499
loss: 0.002967078
loss: 0.002485917
loss: 0.002656785
Train Epoch:1	Percent:[7080/136439 (83%)]	Loss:0.002656785
loss: 0.002315835
loss: 0.002200830
loss: 0.002806633
loss: 0.003441246
loss: 0.002371947
loss: 0.002214473
loss: 0.002450611
loss: 0.003604279
loss: 0.002612698
loss: 0.002254621
loss: 0.002544369
loss: 0.002340946
loss: 0.002833815
loss: 0.002620152
loss: 0.002743092
loss: 0.004109437
loss: 0.001917285
loss: 0.002844165
loss: 0.002655378
loss: 0.002762388
Train Epoch:1	Percent:[7120/136439 (83%)]	Loss:0.002762388
loss: 0.002076993
loss: 0.001747773
loss: 0.002254144
loss: 0.002996456
loss: 0.003034894
loss: 0.002351180
loss: 0.002581808
loss: 0.002966264
loss: 0.002517389
loss: 0.002892348
loss: 0.001852806
loss: 0.001732072
loss: 0.002305963
loss: 0.002870491
loss: 0.002548744
loss: 0.002191524
loss: 0.003457533
loss: 0.003274483
loss: 0.002359907
loss: 0.002853060
Train Epoch:1	Percent:[7160/136439 (84%)]	Loss:0.002853060
loss: 0.002858472
loss: 0.002699758
loss: 0.002527266
loss: 0.002999510
loss: 0.003393831
loss: 0.002342702
loss: 0.001796123
loss: 0.002963277
loss: 0.003177546
loss: 0.003308248
loss: 0.002607764
loss: 0.002090979
loss: 0.002177269
loss: 0.001958056
loss: 0.002240820
loss: 0.003238776
loss: 0.002504253
loss: 0.002495453
loss: 0.002213280
loss: 0.003038640
Train Epoch:1	Percent:[7200/136439 (84%)]	Loss:0.003038640
loss: 0.002762082
loss: 0.002830019
loss: 0.002519900
loss: 0.002158513
loss: 0.002709538
loss: 0.003658944
loss: 0.003371434
loss: 0.002590148
loss: 0.002153976
loss: 0.002162800
loss: 0.002183785
loss: 0.002997321
loss: 0.001937315
loss: 0.003008912
loss: 0.002767911
loss: 0.002799322
loss: 0.002004234
loss: 0.002316229
loss: 0.002578244
loss: 0.002787134
Train Epoch:1	Percent:[7240/136439 (85%)]	Loss:0.002787134
loss: 0.003295208
loss: 0.002629174
loss: 0.003352182
loss: 0.003440181
loss: 0.002579061
loss: 0.002454109
loss: 0.002442535
loss: 0.001926779
loss: 0.003360693
loss: 0.002610537
loss: 0.002409283
loss: 0.003544836
loss: 0.003099010
loss: 0.002684233
loss: 0.003394111
loss: 0.002271336
loss: 0.003248358
loss: 0.002879621
loss: 0.003422739
loss: 0.002232962
Train Epoch:1	Percent:[7280/136439 (85%)]	Loss:0.002232962
loss: 0.002908210
loss: 0.002329607
loss: 0.003086760
loss: 0.002564120
loss: 0.003218050
loss: 0.003442100
loss: 0.002494608
loss: 0.002236571
loss: 0.001981936
loss: 0.002813332
loss: 0.002438701
loss: 0.002284769
loss: 0.002814473
loss: 0.002252979
loss: 0.002238698
loss: 0.002836962
loss: 0.002461262
loss: 0.002129151
loss: 0.003997019
loss: 0.002702936
Train Epoch:1	Percent:[7320/136439 (86%)]	Loss:0.002702936
loss: 0.002248403
loss: 0.002762054
loss: 0.002812570
loss: 0.002513309
loss: 0.002891879
loss: 0.002418795
loss: 0.001971690
loss: 0.002906588
loss: 0.002935228
loss: 0.002547103
loss: 0.002596013
loss: 0.003084223
loss: 0.002715926
loss: 0.002359333
loss: 0.002434830
loss: 0.002085192
loss: 0.002911132
loss: 0.002633633
loss: 0.002447056
loss: 0.003159361
Train Epoch:1	Percent:[7360/136439 (86%)]	Loss:0.003159361
loss: 0.001773400
